timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746381386201,48,DELETE character,200,OK,thread_1000_1_infinite 1-243,text,true,,293,183,1000,1000,http://localhost:3001/character/441,48,0,0
1746381386202,48,DELETE character,200,OK,thread_1000_1_infinite 1-219,text,true,,293,183,1000,1000,http://localhost:3001/character/442,48,0,0
1746381386201,49,POST character ,201,Created,thread_1000_1_infinite 1-39,text,true,,274,217,1000,1000,http://localhost:3001/character,49,0,0
1746381386202,48,POST character ,201,Created,thread_1000_1_infinite 1-102,text,true,,274,217,1000,1000,http://localhost:3001/character,48,0,0
1746381386202,49,GET characters,200,OK,thread_1000_1_infinite 1-206,text,true,,16557,158,1000,1000,http://localhost:3001/characters,49,0,0
1746381386202,49,POST character ,201,Created,thread_1000_1_infinite 1-146,text,true,,274,217,1000,1000,http://localhost:3001/character,49,0,0
1746381386202,49,GET characters,200,OK,thread_1000_1_infinite 1-51,text,true,,16592,158,1000,1000,http://localhost:3001/characters,49,0,0
1746381386203,49,DELETE character,200,OK,thread_1000_1_infinite 1-246,text,true,,293,183,1000,1000,http://localhost:3001/character/441,49,0,0
1746381386202,51,POST character ,201,Created,thread_1000_1_infinite 1-113,text,true,,274,217,1000,1000,http://localhost:3001/character,51,0,0
1746381386203,50,GET character id,200,OK,thread_1000_1_infinite 1-231,text,true,,273,159,1000,1000,http://localhost:3001/character/2,50,0,0
1746381386203,50,POST character ,201,Created,thread_1000_1_infinite 1-108,text,true,,274,217,1000,1000,http://localhost:3001/character,50,0,0
1746381386203,50,DELETE character,200,OK,thread_1000_1_infinite 1-269,text,true,,293,183,1000,1000,http://localhost:3001/character/442,50,0,0
1746381386203,51,DELETE character,200,OK,thread_1000_1_infinite 1-288,text,true,,293,183,1000,1000,http://localhost:3001/character/443,51,0,0
